t (s),velocity (km/h)
0.17393103616158712, 7.465925160647423
0.24899280663104228, 6.701628822016573
0.44200878783821373, 5.723019658702064
0.7815739399619428, 4.763345765038331
0.9960361413032448, 4.092004386511235
1.449981134142332, 3.3965635738831637
1.9968597475626506, 2.921460444463982
2.6402463515865566, 3.3001658374792626
3.079893864336224, 3.9956066501073337
3.319376655834013, 4.83392267919119
3.6231981077341864, 5.606825958572379
3.7661729086283913, 6.433092270605734
3.927019559634367, 6.923687893375536
3.9806351099696897, 7.646670916404716
4.1093124307744695, 8.684667970896612
4.195097311310992, 10.306215608262072
4.221905086478657, 9.59614299635841
4.3023284119816445, 11.64889836531627
4.3237746321157715, 10.832960382183337
4.431005732786424, 12.093016508034204
4.46317506298762, 12.939939477868386
4.5382368334570735, 13.662922500897572
4.645467934127726, 14.706083719839683
4.7526990347983755, 15.718259952080537
4.892099465670224, 16.79584893402403
5.2367708606830305, 17.395875660619687
5.589101620029453, 16.516123359637746
5.803563821370755, 15.612394580851266
6.018026022712057, 14.799038679943429
6.232488224053359, 14.011503601286641
6.382611764992269, 13.156834384777142
6.661412626735963, 12.462254266224107
6.952468471413443, 12.194824321481164
7.219014350223343, 13.208476029279225
7.326245450893996, 14.251637248221336
7.433476551564645, 15.222500164860527
7.540707652235298, 16.183034752599298
7.647938752905947, 17.26750928714307
7.7605314086101345, 18.31067050608518
7.867762509280784, 19.12402640699301
8.32349468713105, 19.33489645537653
8.648596015043985, 19.06061738435951
8.9439031981541, 18.546746595237565
8.966881291154955, 17.858806116691945
9.074112391825604, 17.226195971541408
9.10092016699327, 16.516123359637746
9.270702743055132, 15.642518873477478
9.342190143502233, 15.005605257951771
9.39580569383756, 14.411726346177794
9.449421244172882, 13.473569804389932
9.52984456967587, 11.82964412107357
9.556652344843535, 12.509592440351014
9.663883445514184, 11.132481920295426
9.663883445514184, 10.512782186270414
9.771114546184837, 9.522983999980461
9.878345646855486, 8.352440057933208
9.985576747526139, 7.355264493857241
10.092807848196788, 6.674086611615465
10.264377609269829, 5.957989141186552
10.503860400767618, 5.0559817505501385
10.60215557638238, 4.30287443489474
10.789810002556017, 3.6186226452421195
11.143672634769167, 3.30360861377941
11.594043257585898, 3.9026516900035872
12.076583210603829, 4.573993068530683
12.719969814627735, 4.737524942787289
13.363356418651637, 4.556779187029996
14.006743022675543, 4.014541919758109
14.542898526028797, 3.424966478359302
14.9718229287114, 2.921460444463982
15.347131781058678, 2.189870480684448
15.735844520989787, 1.5594120707214998
16.312211687094536, 1.1943343338942682
16.901982740783115, 0.9332571311337219
17.170060492459744, 1.6820609764139505
17.277291593130393, 2.250119065936879
17.384522693801046, 2.8181771554598143
17.491753794471695, 3.6237868096923407
17.598984895142348, 4.236600991117072
17.65260044547767, 4.827037126590902
17.813447096483646, 5.29697609155987
17.867062646818972, 5.89085500333384
17.942124417288426, 6.64998717751449
18.15301224860738, 7.586422331152285
18.367474449948677, 8.619255221193974
18.564064801178205, 9.68651587423706
18.778527002519503, 10.538603008521456
18.992989203860805, 11.313227676052719
19.250343845470365, 12.124001494735452
19.475529156878736, 12.823745777738694
19.700714468287103, 13.446027593988816
19.958069109896662, 14.127697301416333
20.333377962243944, 14.824859502194471
20.81591791526187, 15.470380058470532
21.40568896895045, 16.064258970244502
22.049075572974353, 16.468785185510832
22.692462176998262, 16.63231705976743
23.335848781022165, 16.468785185510832
23.979235385046067, 16.124507555496933
24.622621989069977, 15.857692392236167
25.26600859309388, 15.642518873477478
25.90939519711778, 15.341275947215316
26.330660235466773, 14.681000635367234
26.55278180114169, 13.972772367910075
26.713628452147667, 13.342744304984642
26.874475103153642, 12.434884194638002
27.171797700467714, 11.104313750567016
27.249783955500916, 11.855464943324613
27.309356789206838, 10.065221267252348
27.504457819593718, 8.685959012009171
27.592923477647, 9.397322665025385
27.738281191889442, 7.546256607650669
27.785939458854173, 8.25776370967938
28.02720943536314, 7.1044336491328295
28.02720943536314, 6.303988159350517
28.375710512542753, 5.426080202815079
28.429326062878076, 6.07160075909114
28.793911805158288, 4.625634713032774
29.019097116566655, 3.9413829233801536
29.23355931790796, 3.373324833857218
29.608868170255235, 2.7148938664556397
30.198639223943815, 2.172656599183753
30.842025827967724, 1.9746969619257655
31.431796881656304, 2.384387341642295
32.02156793534488, 2.783749392458418
32.70325136103688, 2.685384355311591
33.09387894205139, 2.689073044204598
33.20111004272204, 3.494682698437117
33.469187794398664, 4.119546596912343
33.5942907451811, 4.7891665872893725
33.812327316544746, 5.7927358787798795
33.92491997224894, 6.6654796708651105
34.11257439842257, 7.453014749521898
34.219805499093226, 8.38256435055942
34.3806521500992, 8.963532851207873
34.434267700434525, 9.600446466733587
34.54149880110518, 10.254573963759988
34.67553767694349, 10.990467397914692
34.755961002446476, 11.752181654320438
34.991869423921905, 12.45450801954879
35.45296315680571, 13.163719937377422
36.09634976082961, 13.482176745140272
36.73973636485352, 13.705957204649309
37.38312296887742, 13.602673915645141
37.91927847223068, 13.107774822500161
38.1873562239073, 12.26859809934129
38.337479764846215, 11.442331787307936
38.48224175075159, 10.693527942027707
38.616280626589905, 10.013579622750264
38.87669901393292, 9.33240174050848
39.38477018139624, 9.789799163241227
39.581360532625766, 10.796811231031874
39.838715174235325, 11.700540009818354
40.07462359571076, 12.50614966405088
40.385593787655644, 13.249789344880895
40.760902640002925, 14.093269538414944
41.24344259302085, 14.411726346177794
41.940444747380084, 14.205159768169459
42.24426619928026, 13.372007903535831
42.36936915006269, 12.707552077609009
42.62672379167225, 12.010389876830864
