t (s),F (N)
0, 229.928952042629
1.294964028776981, 402.2202486678508
3.273381294964029, 396.44760213143877
4.53237410071943, 392.6731793960924
6.0611510791366925, 390.0088809946714
7.589928057553962, 382.4600355239787
9.02877697841727, 364.47602131438725
10.64748201438849, 342.0515097690942
12.35611510791367, 328.28596802841923
13.615107913669068, 309.8579040852576
15.143884892086334, 289.8756660746004
16.762589928057558, 284.54706927175846
18.20143884892086, 271.8916518650089
19.640287769784173, 267.8952042628774
21.52877697841727, 267.8952042628775
22.967625899280577, 266.3410301953819
24.496402877697847, 260.7904085257549
25.665467625899282, 250.35523978685615
27.284172661870514, 243.91651865008885
28.633093525179866, 235.25754884547072
30.251798561151077, 232.37122557726468
32.050359712230225, 232.37122557726468
33.66906474820145, 227.708703374778
34.92805755395683, 212.61101243339255
36.45683453237411, 211.94493783303733
37.985611510791365, 209.05861456483132
39.334532374100725, 202.84191829484905
41.0431654676259, 203.06394316163414
42.57194244604317, 197.73534635879219
44.01079136690648, 186.6341030195382
45.53956834532374, 183.74777975133213
47.158273381294975, 183.74777975133213
48.687050359712245, 183.74777975133213
50.12589928057555, 179.5293072824157
51.564748201438846, 174.86678507992895
53.093525179856115, 174.86678507992895
54.71223021582735, 174.86678507992895
56.24100719424462, 174.86678507992895
57.76978417266187, 174.86678507992895
59.29856115107914, 175.08880994671404
60.73741007194245, 175.08880994671404
62.26618705035972, 174.86678507992895
63.79496402877699, 174.86678507992895
65.41366906474819, 174.86678507992895
66.85251798561151, 174.86678507992895
68.38129496402878, 174.86678507992895
69.91007194244604, 174.86678507992895
71.4388489208633, 159.10301953818822
73.05755395683454, 159.10301953818833
74.49640287769785, 158.8809946714032
76.02517985611512, 158.8809946714032
77.37410071942446, 157.10479573712257
78.18345323741008, 155.77264653641214
78.90287769784173, 154.44049733570165
80.6115107913669, 154.21847246891656
82.05035971223022, 153.99644760213147
83.57913669064749, 153.99644760213147
85.10791366906474, 154.21847246891656
86.63669064748203, 154.21847246891656
88.16546762589928, 154.44049733570165
89.7841726618705, 154.44049733570165
91.13309352517987, 154.44049733570165
92.75179856115108, 151.77619893428067
94.28057553956835, 151.11012433392546
95.89928057553958, 151.11012433392546
97.33812949640289, 151.11012433392546
98.86690647482014, 151.11012433392546
100.39568345323742, 151.11012433392546
101.92446043165468, 151.11012433392546
103.363309352518, 151.11012433392546
104.89208633093526, 151.11012433392546
106.42086330935251, 151.11012433392546
107.9496402877698, 151.11012433392546
109.47841726618705, 151.11012433392546
111.00719424460432, 151.11012433392546
112.62589928057555, 151.11012433392546
114.06474820143886, 150.88809946714036
115.41366906474819, 149.55595026642987
117.1223021582734, 145.55950266429846
118.5611510791367, 142.89520426287748
120.17985611510791, 142.89520426287748
121.7086330935252, 142.89520426287748
123.1474820143885, 142.89520426287748
124.67625899280576, 142.89520426287748
126.20503597122304, 142.89520426287748
127.7338129496403, 142.89520426287748
129.08273381294964, 142.89520426287743
130.79136690647482, 142.6731793960924
132.3201438848921, 142.6731793960924
133.75899280575538, 142.6731793960924
135.28776978417267, 142.6731793960924
136.81654676258995, 142.6731793960924
138.34532374100718, 142.6731793960924
139.7841726618705, 136.01243339254
141.40287769784175, 136.01243339254
142.93165467625897, 136.01243339254
144.3705035971223, 136.01243339254
145.8992805755396, 136.01243339254
147.33812949640287, 136.01243339254
149.04676258992805, 136.01243339254
150.4856115107914, 136.01243339254
152.10431654676262, 135.7904085257549
153.5431654676259, 135.7904085257549
155.07194244604318, 135.7904085257549
156.6906474820144, 135.7904085257549
158.1294964028777, 135.7904085257549
159.56834532374103, 135.7904085257549
161.09712230215825, 136.01243339254
162.62589928057554, 135.7904085257549
164.15467625899282, 135.7904085257549
165.6834532374101, 135.7904085257549
167.12230215827338, 135.7904085257549
168.74100719424462, 135.7904085257549
170.35971223021585, 135.7904085257549
171.70863309352518, 135.7904085257549
173.3273381294964, 135.7904085257549
174.76618705035975, 135.7904085257549
176.38489208633092, 135.7904085257549
177.9136690647482, 135.7904085257549
